Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
WC,Y04,salt,534.28,441.38,470.49,463.86,532.71,460.26
WCn,Y04,salt,0.931385538,0.928556402,0.928959267,0.929635048,0.933269096,0.927812607
dGP,Y04,T0,NA,NA,NA,NA,NA,NA
GPF,Y04,T0,NA,NA,NA,NA,NA,NA
GPI,Y04,T0,NA,201312,221349,197537,212426,207187
L4A,Y04,T0,NA,NA,NA,NA,NA,NA
L4DM,Y04,T0,NA,NA,NA,NA,NA,NA
L4FM,Y04,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y04,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y04,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y04,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y04,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y04,T0,NA,NA,NA,NA,NA,NA
