Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
LK,Y04,T0,NA,NA,NA,NA,NA,NA
LNa,Y04,T0,NA,NA,NA,NA,NA,NA
RDM,Y04,T0,NA,1.1,1.22,1.34,1.17,NA
RFM,Y04,T0,10.65,18.01,18.47,22.2,23.44,NA
RK,Y04,T0,NA,NA,NA,NA,NA,NA
RL,Y04,T0,6,5.2,6.5,7.5,8,7
RNa,Y04,T0,NA,NA,NA,NA,NA,NA
SDM,Y04,T0,5.19,6.42,7.61,7.77,8.05,7.92
SFM,Y04,T0,69.88,82.88,102.75,93.79,104.99,103.36
SL,Y04,T0,3.4,3.2,3.5,2.9,3.1,3.3
ST,Y04,T0,0.81,0.81,0.96,0.91,0.91,0.82
TDM,Y04,T0,5.83,7.52,8.83,9.11,9.22,9.99
TFM,Y04,T0,80.53,100.89,121.22,115.99,128.43,141.27
WC,Y04,T0,74.7,93.37,112.39,106.88,119.21,131.28
WCn,Y04,T0,0.927604619,0.925463376,0.927157235,0.921458746,0.92820992,0.929284349
dGP,Y05,control,976950,1328206,1611801,2186097,1062701,1384477
GPF,Y05,control,1139445,1481282,1792234,2336271,1199120,1544062
GPI,Y05,control,162495,153076,180433,150174,136419,159585
L4A,Y05,control,8.8912,6.1956,11.1202,10.5583,10.3143,11.7195
L4DM,Y05,control,10.5,NA,9.82,11.07,10.95,12.61
L4FM,Y05,control,117.74,NA,126.15,133.42,126.5,148.31
LeafElongationFactor,Y05,control,0.5473,0.4885,0.4749,0.4852,0.5273,0.5847
LeafHorizWidth,Y05,control,3.742,NA,3.793,3.793,4.1672,4.6605
LeafPerimeter,Y05,control,39.0955,33.8711,53.1956,51.8166,53.2927,56.8662
LeafSucculence,Y05,control,12.06136405,NA,10.46114279,11.58803974,11.20289307,11.57899228
LeafVertLength,Y05,control,6.8367,5.4321,7.9874,7.8182,7.9028,7.9705
LK,Y05,control,137.075718,151.3982642,127.2242758,158.9701676,145.8243185,136.33014
LNa,Y05,control,12.63521074,8.389585342,10.53038769,10.09399264,12.4621376,12.45394252
RDM,Y05,control,10.49,5.48,6.15,6.94,6.15,8.34
RFM,Y05,control,213.36,129.48,145.77,191.15,121.09,201.47
RK,Y05,control,22.67461921,60.08064516,55.86592179,20.08577167,36.10579433,40.12841091
RL,Y05,control,19,13,18,NA,12.5,16.5
RNa,Y05,control,10.40074925,12.21774194,10.60020054,NA,12.87628328,10.53694403
SDM,Y05,control,38.24,41.55,41.88,53.22,40.08,49.43
SFM,Y05,control,775.74,876.98,968.25,1083.74,815.25,988.58
SL,Y05,control,4.3,4,5,4.5,3.3,4
ST,Y05,control,2.15,2.6,2.46,2.38,2.32,2.59
TDM,Y05,control,59.23,51.79,57.85,71.23,57.18,70.38
TFM,Y05,control,989.1,1006.46,1114.02,1274.89,936.34,1190.05
WC,Y05,control,929.87,954.67,1056.17,1203.66,879.16,1119.67
WCn,Y05,control,0.940117278,0.948542416,0.94807095,0.944128513,0.938932439,0.940859628
dGP,Y05,salt,356048,492814,316593,249896,444725,519883
GPF,Y05,salt,522366,670722,447052,380248,577679,756562
GPI,Y05,salt,166318,177908,130459,130352,132954,236679
L4A,Y05,salt,3.334,3.2928,2.9215,3.2099,3.8104,NA
L4DM,Y05,salt,3.34,3.52,NA,3.21,3.21,NA
L4FM,Y05,salt,34.95,34.8,32.61,39.06,42.33,NA
LeafElongationFactor,Y05,salt,0.5242,0.5424,0.6837,0.6786,0.6493,0.6487
LeafHorizWidth,Y05,salt,1.854,1.854,1.9901,2.2622,2.4833,2.7555
LeafPerimeter,Y05,salt,15.2459,15.343,13.9835,15.3819,20.548,20.8976
LeafSucculence,Y05,salt,9.481103779,9.499514091,10.25842889,11.16857223,10.26663867,9.979021261
LeafVertLength,Y05,salt,3.5368,3.4183,2.9107,3.3337,3.8245,4.2475
LK,Y05,salt,54.88769377,56.10613811,64.23089756,35.42538354,44.86196319,50.43460683
LNa,Y05,salt,193.1350838,198.0498721,235.2352352,290.376569,207.0552147,181.9284415
RDM,Y05,salt,3.88,4.21,3.15,2.61,3.58,5.46
RFM,Y05,salt,51.79,52.09,49.84,NA,52.25,NA
RK,Y05,salt,68.77478606,64.74519632,56.00771043,54.2060854,56.09204849,61.59728122
RL,Y05,salt,15.5,14,14.5,16.1,17.9,18
RNa,Y05,salt,214.4646212,199.9791145,204.0051403,215.4180516,206.492706,195.4120646
SDM,Y05,salt,19.18,21.14,17.13,15.18,16.53,NA
SFM,Y05,salt,307.69,334.42,269.12,229.54,294.1,419.89
SL,Y05,salt,3.4,4,3.2,2.8,3.3,4.1
ST,Y05,salt,1.39,1.54,1.24,1.22,1.46,1.5
TDM,Y05,salt,26.4,28.87,22.92,21,23.32,NA
TFM,Y05,salt,359.48,386.51,318.96,271.26,346.35,NA
WC,Y05,salt,333.08,357.64,296.04,250.26,323.03,NA
WCn,Y05,salt,0.926560588,0.925305943,0.92814146,0.922583499,0.932669265,0.923779887
dGP,Y05,T0,NA,NA,NA,NA,NA,NA
GPF,Y05,T0,NA,NA,NA,NA,NA,NA
GPI,Y05,T0,153505,151926,120777,130006,171160,132979
L4A,Y05,T0,NA,NA,NA,NA,NA,NA
L4DM,Y05,T0,NA,NA,NA,NA,NA,NA
L4FM,Y05,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y05,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y05,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y05,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y05,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y05,T0,NA,NA,NA,NA,NA,NA
LK,Y05,T0,NA,NA,NA,NA,NA,NA
LNa,Y05,T0,NA,NA,NA,NA,NA,NA
RDM,Y05,T0,0.63,0.38,0.42,0.65,0.71,0.51
RFM,Y05,T0,13.78,12.68,NA,14.52,15.6,15.64
RK,Y05,T0,NA,NA,NA,NA,NA,NA
RL,Y05,T0,9.4,9.5,6.2,8.1,11,8.6
RNa,Y05,T0,NA,NA,NA,NA,NA,NA
SDM,Y05,T0,6.4,3.72,3.2,4.04,5.44,4.72
SFM,Y05,T0,76.13,54.75,46.56,57.93,77.76,71.98
SL,Y05,T0,2.3,2.3,1.7,1.8,2.6,2.4
ST,Y05,T0,0.71,0.65,0.6,0.61,0.77,0.77
TDM,Y05,T0,7.03,4.1,3.62,4.69,6.15,5.23
TFM,Y05,T0,89.91,67.43,54.65,72.45,93.36,87.62
WC,Y05,T0,82.88,63.33,51.03,67.76,87.21,82.39
WCn,Y05,T0,NA,0.939196203,0.933760293,0.9352657,0.934125964,0.940310431
dGP,Y06,control,6177535,3683385,5109047,4512943,7294216,2067886
GPF,Y06,control,6537405,4012548,5501493,4911803,7715568,2376220
GPI,Y06,control,359870,329163,392446,398860,421352,308334
L4A,Y06,control,40.382,32.2579,38.2943,40.1641,40.0458,23.5751
L4DM,Y06,control,36.39,28.66,33.26,38.06,37.64,21.53
L4FM,Y06,control,456.52,359.05,423.87,458.1,459.39,264.22
LeafElongationFactor,Y06,control,0.641,0.5735,0.6275,0.6842,0.6009,0.6682
LeafHorizWidth,Y06,control,7.7561,6.5315,7.518,8.2664,7.484,6.2083
LeafPerimeter,Y06,control,80.2109,65.5671,71.7043,74.2679,78.463,49.9716
LeafSucculence,Y06,control,10.40389282,10.24214223,10.20021256,10.45809566,10.53169121,10.29433597
LeafVertLength,Y06,control,12.0995,11.3888,11.9811,12.0826,12.4549,NA
LK,Y06,control,121.390998,120.6150307,108.8041781,112.0131416,105.0385299,134.1217191
LNa,Y06,control,NA,6.50746088,9.920380943,11.71317017,8.678126852,6.819399234
RDM,Y06,control,18.59,11.77,16.57,16.62,18.96,12.11
RFM,Y06,control,537.26,286.08,430.3,421.2,472.99,246.2
RK,Y06,control,38.75296431,43.01702453,50.75774056,54.87171882,51.97894412,58.52449912
RL,Y06,control,21,22.5,16.5,18.5,24.3,17.5
RNa,Y06,control,13.97805927,11.41044803,12.83445725,10.19575856,11.60716252,9.9107181
SDM,Y06,control,127.24,110.39,137.27,138.93,166.9,80.7
SFM,Y06,control,2846.57,2468.77,3202.81,3045.73,3346.07,1807.33
SL,Y06,control,6.5,9,10.5,8.3,11.2,7.7
ST,Y06,control,3.53,3.02,3.53,3.67,3.75,3.02
TDM,Y06,control,182.22,150.82,187.1,193.61,223.5,114.34
TFM,Y06,control,3383.83,2754.85,3633.11,3466.93,3819.06,2053.53
WC,Y06,control,3201.61,2604.03,3446.01,3273.32,3595.56,1939.19
WCn,Y06,control,0.946149777,0.945252918,0.948501422,0.944155204,0.941477746,0.944320268
dGP,Y06,salt,932735,822102,766585,985326,877036,925551
GPF,Y06,salt,1358433,1220972,1149213,1360803,1242691,1282482
GPI,Y06,salt,425698,398870,382628,375477,365655,356931
L4A,Y06,salt,9.4571,8.4543,5.3721,7.4063,5.8488,6.9276
L4DM,Y06,salt,10.6,10.47,6.68,7.9,6.66,7.45
L4FM,Y06,salt,149.2,134.61,89.04,82.44,57.66,78.76
LeafElongationFactor,Y06,salt,0.7129,0.8142,0.7251,0.6447,0.6467,0.691
LeafHorizWidth,Y06,salt,3.776,3.844,3.2147,3.1637,2.8235,3.1807
LeafPerimeter,Y06,salt,24.8207,25.0149,17.3628,20.8781,17.8484,19.305
LeafSucculence,Y06,salt,14.65565554,14.68365211,15.33106234,10.06440463,8.719737382,10.29360818
LeafVertLength,Y06,salt,5.2967,4.7214,4.4337,4.9075,4.366,4.6029
LK,Y06,salt,28.67965368,40.07572096,20.03399709,58.35792863,79.01960784,50.06310475
LNa,Y06,salt,263.7085137,238.4404704,252.5497814,243.2921921,174.4117647,202.7766092
RDM,Y06,salt,9.58,5.89,11.58,8.68,8.81,11.68
RFM,Y06,salt,154.79,80.83,179.42,123.08,145.8,138.78
RK,Y06,salt,56.67653743,56.84547638,57.91229743,58.82867133,55.33250602,54.76003147
RL,Y06,salt,23,14.5,18,17.5,12.5,17
RNa,Y06,salt,188.003581,195.4897251,193.0409914,182.2552448,164.6105555,168.7647522
SDM,Y06,salt,49.46,43.57,47.08,41.47,47.95,39.33
SFM,Y06,salt,873.65,743.33,785.9,711.34,765.61,664.87
SL,Y06,salt,5.7,5,6.2,5,6,5
ST,Y06,salt,2.02,2.21,0.19,0.55,0.83,0.49
TDM,Y06,salt,69.64,59.93,65.34,58.05,63.42,58.46
TFM,Y06,salt,1028.44,824.16,965.32,834.42,911.41,803.65
WC,Y06,salt,958.8,764.23,899.98,776.37,847.99,745.19
WCn,Y06,salt,0.932285792,0.927283537,0.932312601,0.930430718,0.93041551,0.92725689
dGP,Y06,T0,NA,NA,NA,NA,NA,NA
GPF,Y06,T0,NA,NA,NA,NA,NA,NA
GPI,Y06,T0,351270,390126,473136,438853,407532,389624
L4A,Y06,T0,NA,NA,NA,NA,NA,NA
L4DM,Y06,T0,NA,NA,NA,NA,NA,NA
L4FM,Y06,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y06,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y06,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y06,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y06,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y06,T0,NA,NA,NA,NA,NA,NA
LK,Y06,T0,NA,NA,NA,NA,NA,NA
LNa,Y06,T0,NA,NA,NA,NA,NA,NA
RDM,Y06,T0,1.71,2.54,1.84,2.67,2,2.64
RFM,Y06,T0,33.88,33.58,29.53,48.54,44.11,39.07
RK,Y06,T0,NA,NA,NA,NA,NA,NA
RL,Y06,T0,10.6,10,9.4,11.6,10.7,11.8
RNa,Y06,T0,NA,NA,NA,NA,NA,NA
SDM,Y06,T0,12.56,16.08,16.18,16.08,14.62,14.57
SFM,Y06,T0,NA,190.51,206.22,205.29,191.05,191.76
SL,Y06,T0,3.1,3.6,3.1,3,4.1,3.6
ST,Y06,T0,1.24,1.46,1.29,1.38,1.25,1.36
TDM,Y06,T0,14.27,18.62,18.02,18.75,16.62,17.21
TFM,Y06,T0,NA,224.09,235.75,NA,235.16,230.83
WC,Y06,T0,NA,205.47,217.73,235.08,218.54,213.62
WCn,Y06,T0,0.920713413,0.916908385,0.923563097,0.926131663,0.929324715,0.925442967
dGP,Y07,control,5672089,4857328,2953640,3023853,5307569,4409635
GPF,Y07,control,6039991,5193989,3313248,3302952,5665715,4867420
GPI,Y07,control,367902,336661,359608,NA,358146,NA
L4A,Y07,control,33.2601,27.7472,28.177,21.3193,31.5881,26.0585
L4DM,Y07,control,35.45,26.18,30.78,22.19,30.35,28.54
L4FM,Y07,control,374.91,294.26,856.23,253.16,854.56,286.54
LeafElongationFactor,Y07,control,0.5944,0.4841,0.4756,0.5749,0.5573,0.5878
LeafHorizWidth,Y07,control,6.9907,5.7831,6.0042,5.1367,6.6675,6.1573
LeafPerimeter,Y07,control,77.589,77.6084,76.6956,NA,NA,74.6369
LeafSucculence,Y07,control,10.20622307,9.661515396,29.29516982,10.83384539,26.09242088,9.900800123
LeafVertLength,Y07,control,11.7611,11.9472,12.6241,8.935,11.9642,10.475
LK,Y07,control,125.6407235,129.252462,43.06741777,131.4023466,41.85826428,129.0697674
LNa,Y07,control,12.1663819,10.12757386,4.639893391,9.611637875,3.821841521,9.282945736
RDM,Y07,control,NA,18.61,19.81,NA,20.55,20.45
RFM,Y07,control,473.25,375.79,464.23,301.15,406.88,463.38
RK,Y07,control,NA,80.35164343,67.5037127,67.41455597,65.48805425,NA
RL,Y07,control,19.5,15,14.5,19.5,13,23
RNa,Y07,control,NA,15.03443642,13.52324378,15.29456851,15.01307173,12.48504278
SDM,Y07,control,159.41,126.4,138.53,97,136.3,112.19
SFM,Y07,control,3189.53,2705.66,2769.75,2030.56,3193.92,2209.13
SL,Y07,control,12,12.5,12.5,11,12.4,10.3
ST,Y07,control,3.7,3.39,3.47,3.07,3.22,3.38
TDM,Y07,control,219.67,171.19,189.12,133.31,187.2,161.18
TFM,Y07,control,3662.78,3081.45,3233.98,2331.71,3600.8,2672.51
WC,Y07,control,3443.11,2910.26,3044.86,2198.4,3413.6,2511.33
WCn,Y07,control,0.940026428,0.944444985,0.941520974,0.942827367,0.948011553,0.939689655
dGP,Y07,salt,1353563,1119883,779799,1078105,723563,1247717
GPF,Y07,salt,1777689,1513731,1241730,1478791,1105878,1738156
GPI,Y07,salt,424126,393848,461931,400686,382315,490439
L4A,Y07,salt,6.2915,5.5601,NA,4.9597,4.2366,7.5775
L4DM,Y07,salt,6.77,6.11,5.63,5.12,4.95,8.02
L4FM,Y07,salt,53.98,50.06,51.66,40.54,37.29,66.3
LeafElongationFactor,Y07,salt,0.5602,0.5893,NA,0.6311,0.6754,0.7055
LeafHorizWidth,Y07,salt,2.8915,2.7725,NA,2.7555,2.8575,NA
LeafPerimeter,Y07,salt,27.6951,23.5389,NA,22.9174,19.4604,28.5302
LeafSucculence,Y07,salt,7.503774934,7.904534091,NA,NA,7.633479677,7.691191026
LeafVertLength,Y07,salt,5.1613,4.7044,NA,4.366,4.2306,5.2798
LK,Y07,salt,114.4884558,102.7303754,105.3660656,106.4370412,117.1923315,120.1098147
LNa,Y07,salt,161.724211,134.1296928,115.6854226,143.9864483,NA,122.512011
RDM,Y07,salt,NA,7.36,7,6.89,6.47,7.73
RFM,Y07,salt,NA,111.77,123.22,109.42,108.88,109.82
RK,Y07,salt,46.84796044,46.49937745,52.22853209,48.91251341,50.72746802,56.91056911
RL,Y07,salt,17.5,19,22.5,22,14,14
RNa,Y07,salt,NA,208.3133799,202.202719,NA,205.7904502,204.2315604
SDM,Y07,salt,47.88,45.7,55.75,43.93,38.42,54.81
SFM,Y07,salt,821.57,752.7,871.05,730.8,576.33,889.32
SL,Y07,salt,8,7,7.5,8,7.5,8
ST,Y07,salt,0.75,0.4,0.7,0.49,0.17,NA
TDM,Y07,salt,64.85,59.17,68.38,55.94,49.84,70.56
TFM,Y07,salt,993.57,864.47,994.27,840.22,685.21,999.14
WC,Y07,salt,928.72,805.3,925.89,784.28,635.37,928.58
WCn,Y07,salt,0.934730316,0.931553437,0.931225925,0.933422199,0.927263175,0.929379266
dGP,Y07,T0,NA,NA,NA,NA,NA,NA
GPF,Y07,T0,NA,NA,NA,NA,NA,NA
GPI,Y07,T0,388931,411358,244991,300377,481969,376092
L4A,Y07,T0,NA,NA,NA,NA,NA,NA
L4DM,Y07,T0,NA,NA,NA,NA,NA,NA
L4FM,Y07,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y07,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y07,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y07,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y07,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y07,T0,NA,NA,NA,NA,NA,NA
LK,Y07,T0,NA,NA,NA,NA,NA,NA
LNa,Y07,T0,NA,NA,NA,NA,NA,NA
RDM,Y07,T0,1.75,2.09,1.45,NA,2.41,1.77
RFM,Y07,T0,25.36,41.15,24.82,28.23,51.87,33.55
RK,Y07,T0,NA,NA,NA,NA,NA,NA
RL,Y07,T0,11.2,11.4,10.5,9.6,11,8.9
RNa,Y07,T0,NA,NA,NA,NA,NA,NA
SDM,Y07,T0,13.3,12.95,8.49,9.98,15.69,13.59
SFM,Y07,T0,174.93,189.11,120.58,149.79,243.98,213.02
SL,Y07,T0,3.8,4.2,NA,4.3,5,4.3
ST,Y07,T0,1.27,1.07,0.95,1.07,1.35,1.39
TDM,Y07,T0,15.05,15.04,NA,14.47,NA,15.36
TFM,Y07,T0,200.29,230.26,145.4,178.02,295.85,246.57
WC,Y07,T0,185.24,215.22,135.46,163.55,277.75,231.21
WCn,Y07,T0,0.924858955,0.934682533,0.931636864,0.918716998,0.938820348,0.937705317
dGP,Y08,control,1177816,1995823,1355798,2830773,NA,2245896
GPF,Y08,control,1385367,2249224,1612860,3051817,NA,2457274
GPI,Y08,control,207551,253401,257062,221044,250640,211378
L4A,Y08,control,12.9183,14.392,16.0787,12.7666,22.1762,19.9832
L4DM,Y08,control,13.7,14.9,14.88,12.52,20.65,18.67
L4FM,Y08,control,129.74,144.24,156.22,120.08,224.9,193.89
LeafElongationFactor,Y08,control,0.6946,0.7588,0.6752,0.6077,0.7348,0.6624
LeafHorizWidth,Y08,control,5.2898,5.8681,5.9872,4.8646,7.2118,6.8036
LeafPerimeter,Y08,control,44.417,45.7183,51.1951,47.4468,60.5369,59.6047
LeafSucculence,Y08,control,8.98260607,8.986937187,8.790511671,NA,9.210324582,8.768365427
LeafVertLength,Y08,control,7.6151,7.7335,8.8673,8.0043,9.815,10.2719
LK,Y08,control,139.1761462,132.9828359,123.8149144,134.808479,123.1334149,130.9781988
LNa,Y08,control,9.04860393,9.47116128,6.862883826,9.715507624,8.886168911,8.275311038
RDM,Y08,control,8.31,11.08,10.42,11.48,14.55,9.38
RFM,Y08,control,162.25,214.26,258.67,308.49,339.17,227.38
RK,Y08,control,NA,49.46352987,49.34541793,50.16666106,51.59879243,NA
RL,Y08,control,15.5,18.5,24,15.5,25.2,15.5
RNa,Y08,control,15.62296999,9.572792598,11.92346425,11.31275041,13.32327029,10.77981651
SDM,Y08,control,48.05,48.63,55.92,74.67,75.01,61.86
SFM,Y08,control,887.47,845.93,1018.3,1359.44,1492.2,1221.39
SL,Y08,control,5.2,5.2,5.5,5,5,5
ST,Y08,control,2.51,2.28,2.2,2.7,2.01,1.5
TDM,Y08,control,70.06,74.61,81.22,98.67,110.21,89.91
TFM,Y08,control,1049.72,1060.19,1276.97,1667.93,1831.37,1448.77
WC,Y08,control,979.66,985.58,1195.75,1569.26,1721.16,1358.86
WCn,Y08,control,0.933258393,0.929625822,0.936396313,0.940842841,0.939821008,0.93794046
dGP,Y08,salt,551880,607732,529571,533760,490867,593870
GPF,Y08,salt,800894,885247,772469,757755,714241,822959
GPI,Y08,salt,249014,277515,242898,223995,223374,229089
L4A,Y08,salt,3.26,NA,2.9949,4.2447,3.0231,4.3192
L4DM,Y08,salt,3.41,1.9,3.05,4.01,2.9,4.29
L4FM,Y08,salt,26.97,12.81,23.28,38.68,30.85,38
LeafElongationFactor,Y08,salt,0.7812,NA,0.6415,0.7608,NA,0.7823
LeafHorizWidth,Y08,salt,2.5514,NA,2.1602,2.8065,1.6499,2.9256
LeafPerimeter,Y08,salt,17.46,NA,18.431,19.0914,15.7897,20.0236
LeafSucculence,Y08,salt,7.226993865,NA,6.754816521,8.167832827,9.245476498,7.804686053
LeafVertLength,Y08,salt,3.266,NA,3.3676,3.6891,4.0275,3.7399
LK,Y08,salt,89.77079796,130.1558203,100.0988631,54.22555524,61.35957066,81.72649066
LNa,Y08,salt,205.008489,221.3565536,162.3826001,208.1049899,248.4794275,269.652922
RDM,Y08,salt,3.58,5.24,4.19,5.52,4.88,4.21
RFM,Y08,salt,47.56,73.16,53.86,77.15,68.3,55.05
RK,Y08,salt,84.47021373,82.15547703,75.19629555,72.59528131,73.32071902,65.59795437
RL,Y08,salt,11,12.5,16,13,18.8,14
RNa,Y08,salt,214.3019554,219.0076561,210.3885645,181.4882033,198.2812993,181.9433517
SDM,Y08,salt,22.07,24.57,20.5,25.83,23.07,23.24
SFM,Y08,salt,339.21,349.21,311.51,413.84,358.17,307.93
SL,Y08,salt,3.8,3.9,3,3.2,2.9,3.2
ST,Y08,salt,1.15,1.4,1.22,1.42,1.42,1.45
TDM,Y08,salt,29.06,31.71,27.74,35.36,30.85,31.74
TFM,Y08,salt,386.77,422.37,365.37,490.99,426.47,362.98
WC,Y08,salt,357.71,390.66,337.63,455.63,395.62,331.24
WCn,Y08,salt,0.924864907,0.924923645,0.924076963,0.92798224,0.927661969,NA
dGP,Y08,T0,NA,NA,NA,NA,NA,NA
GPF,Y08,T0,NA,NA,NA,NA,NA,NA
GPI,Y08,T0,189299,230183,171739,205018,205226,182988
L4A,Y08,T0,NA,NA,NA,NA,NA,NA
L4DM,Y08,T0,NA,NA,NA,NA,NA,NA
L4FM,Y08,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y08,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y08,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y08,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y08,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y08,T0,NA,NA,NA,NA,NA,NA
LK,Y08,T0,NA,NA,NA,NA,NA,NA
LNa,Y08,T0,NA,NA,NA,NA,NA,NA
RDM,Y08,T0,1.05,0.87,0.44,0.65,0.69,0.73
RFM,Y08,T0,15.78,14.54,NA,13.54,16.52,16.76
RK,Y08,T0,NA,NA,NA,NA,NA,NA
RL,Y08,T0,8.5,8.1,7.2,7,8.9,8
RNa,Y08,T0,NA,NA,NA,NA,NA,NA
SDM,Y08,T0,6.39,5.8,4.14,4.54,5.34,5.33
SFM,Y08,T0,74.39,77.38,54.77,65.84,66.3,68.51
SL,Y08,T0,2.7,2.3,2.1,NA,2.1,2
ST,Y08,T0,0.71,0.79,0.62,0.79,0.7,0.77
TDM,Y08,T0,7.44,6.67,4.58,5.19,6.03,6.06
TFM,Y08,T0,90.17,91.92,NA,79.38,82.82,85.27
WC,Y08,T0,82.73,85.25,NA,74.19,76.79,79.21
WCn,Y08,T0,NA,0.927436902,0.92643752,NA,0.9271915,0.928931629
dGP,Y09,control,3127736,1239594,1771367,1218656,2003466,1184176
GPF,Y09,control,3289065,1414757,1967482,1405815,2250998,1419155
GPI,Y09,control,161329,175163,196115,187159,247532,234979
L4A,Y09,control,15.6366,11.7091,13.654,13.4997,15.6568,15.0742
L4DM,Y09,control,11.94,11.9,13.44,12.8,14.65,15.51
L4FM,Y09,control,167.45,137.01,163.37,159.17,181.04,189.9
LeafElongationFactor,Y09,control,0.5856,0.6314,0.5718,0.6543,0.6472,0.6959
LeafHorizWidth,Y09,control,4.7966,4.1672,4.2863,4.9496,5.1367,5.2048
LeafPerimeter,Y09,control,59.3716,48.6703,51.8943,53.584,54.3609,57.9344
LeafSucculence,Y09,control,NA,10.68485195,10.98066501,10.84246317,10.62733126,NA
LeafVertLength,Y09,control,8.1905,NA,7.4966,7.5643,7.9366,7.4797
LK,Y09,control,104.8164105,121.4930861,105.0490229,103.1632165,66.71073983,64.51057974
LNa,Y09,control,8.134525111,8.232755175,8.337224038,8.027601284,12.53080113,14.10631344
RDM,Y09,control,5.26,6.48,7.81,5.78,7.95,8.73
RFM,Y09,control,128.73,158.28,178.77,160.78,233.89,247.4
RK,Y09,control,22.27261683,73.78129117,20.76509125,29.35483871,53.5540409,51.95458164
RL,Y09,control,24.5,12,16,22.5,22.9,20.7
RNa,Y09,control,8.301611728,9.057971014,8.86172204,9.290322581,NA,8.966355219
SDM,Y09,control,48.17,45.83,53.83,50.8,52.48,49.39
SFM,Y09,control,1258.58,NA,1137.72,1134.3,1207.42,1113.54
SL,Y09,control,6.9,4.8,4.6,5.5,4.3,3.5
ST,Y09,control,2.5,2.09,2.74,1.72,2.56,2.43
TDM,Y09,control,65.37,64.21,75.08,69.38,75.08,73.63
TFM,Y09,control,1387.31,NA,1316.49,1295.08,1441.31,1360.94
WC,Y09,control,1321.94,NA,1241.41,1225.7,1366.23,1287.31
WCn,Y09,control,0.952880034,0.940926989,0.942969563,0.94642802,0.9479085,0.945897688
dGP,Y09,salt,NA,345468,288062,520510,56457,113549
GPF,Y09,salt,490964,545582,514964,NA,363365,435186
GPI,Y09,salt,NA,200114,226902,192359,306908,321637
L4A,Y09,salt,3.608,0.9991,4.2248,5.0388,2.6052,3.4457
L4DM,Y09,salt,4.57,1.35,4.28,4.9,3.1,3.83
L4FM,Y09,salt,39.8,11.37,46.43,51.38,27.77,38.94
LeafElongationFactor,Y09,salt,0.7073,0.7629,0.6621,0.6169,0.5609,0.7511
LeafHorizWidth,Y09,salt,2.2622,1.0716,2.3643,2.4323,1.7179,2.3132
LeafPerimeter,Y09,salt,14.5079,5.7294,17.6153,19.0331,12.2938,16.0228
LeafSucculence,Y09,salt,9.764412417,10.02902612,9.976803636,9.224418512,9.469522493,10.18951157
LeafVertLength,Y09,salt,3.1983,NA,3.5706,3.9429,3.063,3.0799
LK,Y09,salt,64.00794777,90.56886228,63.70106762,72.82702238,85.73165788,46.71033893
LNa,Y09,salt,194.5784842,227.0459082,196.797153,148.7736661,260.2351034,279.4075762
RDM,Y09,salt,4.51,3.87,4.42,NA,3.9,4.73
RFM,Y09,salt,65.31,48.88,63.78,74.24,68.14,77.95
RK,Y09,salt,61.51315789,NA,65.11118598,NA,65.76899128,63.78038787
RL,Y09,salt,16,19,13.3,14.6,13.7,14.4
RNa,Y09,salt,178.4539474,NA,158.7769542,154.7849382,160.3362391,162.5239006
SDM,Y09,salt,24.2,20.77,27.99,24.56,20.94,24.27
SFM,Y09,salt,346.3,311.22,359.19,341.21,241.83,284.78
SL,Y09,salt,4,4.8,4.1,3.5,3.3,3.1
ST,Y09,salt,NA,1.45,1.48,1.31,1.32,1.45
TDM,Y09,salt,33.28,25.99,36.69,36.51,27.94,32.83
TFM,Y09,salt,411.61,360.1,422.97,415.45,309.97,362.73
WC,Y09,salt,378.33,334.11,386.28,378.94,282.03,329.9
WCn,Y09,salt,0.919146765,0.927825604,0.913256259,0.912119389,0.909862245,0.909491909
dGP,Y09,T0,NA,NA,NA,NA,NA,NA
GPF,Y09,T0,NA,NA,NA,NA,NA,NA
GPI,Y09,T0,143717,226133,202747,107189,211833,265450
L4A,Y09,T0,NA,NA,NA,NA,NA,NA
L4DM,Y09,T0,NA,NA,NA,NA,NA,NA
L4FM,Y09,T0,NA,NA,NA,NA,NA,NA
